movie_title,rating,genre,directors,tomatometer_rating,audience_rating
The Long Walk Home,PG,Drama,Richard Pearce,87,84
Duel,PG,"Mystery & Suspense, Television",Steven Spielberg,88,84
Dirty Rotten Scoundrels,PG,Comedy,Frank Oz,89,84
Alamar (To the Sea),G,"Art House & International, Drama",Pedro González-Rubio,91,84
Little Women,PG,"Drama, Romance",Gillian Armstrong,91,84
From Here to Eternity,G,"Classics, Drama, Romance",Fred Zinnemann,92,84
The Wrecking Crew,PG,"Documentary, Musical & Performing Arts",Denny Tedesco,94,84
American Graffiti,PG,"Comedy, Drama",George Lucas,96,84
Yellow Submarine,G,"Action & Adventure, Animation, Comedy, Cult Movies, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy",George Dunning,97,84
Born To Be Wild,G,Documentary,David Lickley,98,84
Earth: One Amazing Day,G,"Documentary, Kids & Family","Richard Dale, Peter Webber, Lixin Fan",100,84
Broadway Danny Rose,PG,"Comedy, Romance",Woody Allen,100,84
Facing the Giants,PG,"Drama, Faith & Spirituality","Alex Kendrick, Stephen Kendrick",13,85
Back to the Future Part II,PG,"Comedy, Science Fiction & Fantasy",Robert Zemeckis,65,85
Amazing Grace,PG,"Drama, Mystery & Suspense",Michael Apted,68,85
A Little Romance,PG,"Art House & International, Comedy, Drama, Romance",George Roy Hill,69,85
Despicable Me 2,PG,"Animation, Comedy, Kids & Family","Pierre Coffin, Chris Renaud",75,85
The Business of Being Born,PG,"Documentary, Special Interest",Abby Epstein,81,85
Emmanuel's Gift,G,"Documentary, Special Interest","Lisa Lax, Nancy Stern",82,85
Abbott and Costello Meet Frankenstein,PG,"Classics, Comedy, Horror, Science Fiction & Fantasy",Charles Barton,88,85
The Producers,PG,"Classics, Comedy",Mel Brooks,90,85
The Magic Flute (Trollflöjten),G,"Art House & International, Comedy, Musical & Performing Arts, Science Fiction & Fantasy, Television, Romance",Ingmar Bergman,91,85
Fantastic Mr. Fox,PG,"Action & Adventure, Animation, Comedy, Kids & Family",Wes Anderson,92,85
The Music Man,G,"Musical & Performing Arts, Romance",Morton DaCosta,94,85
Contempt,PG,"Art House & International, Comedy, Drama",Jean-Luc Godard,94,85
Wuthering Heights,G,"Classics, Drama, Romance",William Wyler,95,85
Close Encounters of the Third Kind,PG,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",Steven Spielberg,95,85
Escape From Alcatraz,PG,"Action & Adventure, Classics, Drama, Mystery & Suspense",Don Siegel,96,85
Bullitt,PG,"Action & Adventure, Classics, Drama, Mystery & Suspense",Peter Yates,97,85
Invasion of the Body Snatchers,PG,"Classics, Mystery & Suspense, Science Fiction & Fantasy",Don Siegel,98,85
Emmet Otter's Jug-Band Christmas,G,"Kids & Family, Musical & Performing Arts",Jim Henson,100,85
Beau Geste,PG,"Action & Adventure, Classics, Drama",William Wellman,100,85
Brain Donors,PG,Comedy,Dennis Dugan,45,86
Clue,PG,"Comedy, Drama, Mystery & Suspense",Jonathan Lynn,59,86
A Bridge Too Far,PG,"Action & Adventure, Drama","Sidney Hayers, Richard Attenborough",63,86
Dreams,PG,"Art House & International, Drama, Science Fiction & Fantasy",Akira Kurosawa,63,86
